Block Name,Category,District Name,HealthBlock ID,HFI,Highlight,Hyper Link,Latitude,Longitude,Nin 2 Hfi,Operational Date,Progressive Date,Quarter of Operational Date,State Name1,Taluka ID,DistrictProgressColor,HFI Name,Geometry (generated),Latitude (generated),Longitude (generated),test,breastcancer,diabetes,footfall,Hypertension, Oralcancer 
Ballianwali,SHC,,40645,Bhunder,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4448844888,30.211487,75.2231208,4448844888,30/11/19,30/11/19,Q4,,0,,Bhunder,,30.211487,75.2231208,,"1,742",500,"9,837","2,870","2,870"
Ballianwali,SHC,,40645,Daulatpura,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8744551683,30.1910291,75.1664729,8744551683,30/03/20,30/03/20,Q1,,0,,Daulatpura,,30.1910291,75.1664729,,"1,069","1,708","7,916","1,867","1,772"
Ballianwali,SHC,,40645,Dikh,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1633371115,30.15217,75.2702398,1633371115,30/11/19,30/11/19,Q4,,0,,Dikh,,30.15217,75.2702398,,"2,753","4,145","11,519","4,811","4,811"
Ballianwali,SHC,,40645,Kotra Korian Wala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2641687682,30.2433405,75.2032349,2641687682,30/11/19,30/11/19,Q4,,0,,Kotra Korian Wala,,30.2433405,75.2032349,,"3,077","5,609","13,379","5,609","5,375"
BHAGTA BHAIKA,PHC,,227,PHC Bhai Rupa,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3324885635,30.4348651,75.2149054,3324885635,30/06/19,30/06/19,Q2,,0,,PHC Bhai Rupa,,30.4348651,75.2149054,,"1,290","2,251","3,158","2,251","2,251"
BHAGTA BHAIKA,SHC,,227,Aklian,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2388164341,30.5086829,75.1565446,2388164341,21/04/20,21/04/20,Q2,,0,,Aklian,,30.5086829,75.1565446,,"1,078",351,"9,433","3,418","1,969"
BHAGTA BHAIKA,SHC,,227,Bugran,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8335846658,30.686099,74.7485199,8335846658,21/04/20,21/04/20,Q2,,0,,Bugran,,30.686099,74.7485199,,422,888,"5,744","1,647",657
BHAGTA BHAIKA,SHC,,227,Burj Ladha,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3673348326,30.5187628,75.0799132,3673348326,21/04/20,21/04/20,Q2,,0,,Burj Ladha,,30.5187628,75.0799132,,686,"1,366","6,912","1,978","1,248"
BHAGTA BHAIKA,SHC,,227,Chottian,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5867786310,30.3141113,75.2877024,5867786310,21/04/20,21/04/20,Q2,,0,,Chottian,,30.3141113,75.2877024,,"1,079",73,"3,474","1,530","1,530"
BHAGTA BHAIKA,SHC,,227,Dialpura Bhai Ka,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7787821417,30.481752,75.2065173,7787821417,30/06/19,30/06/19,Q2,,0,,Dialpura Bhai Ka,,30.481752,75.2065173,,"1,337","2,388","6,657","2,506","2,498"
