Block Name,Category,District Name,HealthBlock ID,HFI,Highlight,Hyper Link,Latitude,Longitude,Nin 2 Hfi,Operational Date,Progressive Date,Quarter of Operational Date,State Name1,Taluka ID,DistrictProgressColor,HFI Name,Geometry (generated),Latitude (generated),Longitude (generated),test,breastcancer,diabetes,footfall,Hypertension,Oralcancer
Behrampur,SHC,,40357,Awankha,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1224488765,32.1361074,75.4575954,1224488765,21/04/20,21/04/20,Q2,,0,,Awankha,,32.1361074,75.4575954,,,,"2,940",,
Behrampur,SHC,,40357,Bathanwal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6186687247,32.119865,75.4226369,6186687247,26/08/20,26/08/20,Q3,,0,,Bathanwal,,32.119865,75.4226369,,0,0,716,0,0
Behrampur,SHC,,40357,Chaunta,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1257478741,32.1315409,75.5911229,1257478741,30/11/19,30/11/19,Q4,,0,,Chaunta,,32.1315409,75.5911229,,95,290,"2,467",520,200
Behrampur,SHC,,40357,Chur Chak,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2537748275,32.1068152,75.4149886,2537748275,04/03/21,04/03/21,Q1,,0,,Chur Chak,,32.1068152,75.4149886,,,,"3,250",,
Behrampur,SHC,,40357,Daburji,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6142838371,32.1219228,75.4844465,6142838371,30/11/19,30/11/19,Q4,,0,,Daburji,,32.1219228,75.4844465,,5,91,"4,045",131,11
Behrampur,SHC,,40357,Dodwan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6862872246,32.1424504,75.413896,6862872246,30/07/20,30/07/20,Q3,,0,,Dodwan,,32.1424504,75.413896,,0,84,"2,979",315,41
Behrampur,SHC,,40357,Lohgarh,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6661135167,32.104999,75.500554,6661135167,26/08/20,26/08/20,Q3,,0,,Lohgarh,,32.104999,75.500554,,1,426,"3,771","1,337",770
Behrampur,SHC,,40357,Mugrala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8455564776,32.13578,75.484537,8455564776,26/08/20,26/08/20,Q3,,0,,Mugrala,,32.13578,75.484537,,0,571,"4,476","1,123",386
Behrampur,SHC,,40357,Paniar,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3757336684,32.0851105,75.4521336,3757336684,06/07/21,06/07/21,Q3,,0,,Paniar,,32.0851105,75.4521336,,0,13,"1,200",20,0
Bham,SHC,,40358,Aulakh,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5342857686,31.795149,75.5030909,5342857686,10/03/21,10/03/21,Q1,,0,,Aulakh,,31.795149,75.5030909,,0,100,"7,427",100,100
