Block Name,Category,District Name,HealthBlock ID,HFI,Highlight,Hyper Link,Latitude,Longitude,Nin 2 Hfi,Operational Date,Progressive Date,Quarter of Operational Date,State Name1,Taluka ID,DistrictProgressColor,HFI Name,Geometry (generated),Latitude (generated),Longitude (generated),test,breastcancer,diabetes,footfall,Hypertension,Oralcancer
,UPHC,,0,UPHC Purhiran,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1115177667,31.4983172,75.8944473,1115177667,30/06/19,30/06/19,Q2,,216,,UPHC Purhiran,,31.4983172,75.8944473,,"2,927","4,692","10,861","4,692","4,692"
Bhunga,PHC,,267,PHC Janouri,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3467718270,31.7161728,75.8897996,3467718270,30/06/19,30/06/19,Q2,,216,,PHC Janouri,,31.7161728,75.8897996,,,,"1,190",,
Bhunga,SHC,,267,Argowal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7333283468,31.7550076,75.7351084,7333283468,30/11/19,30/11/19,Q4,,216,,Argowal,,31.7550076,75.7351084,,332,501,"3,474",501,501
Bhunga,SHC,,267,Bariana,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2277746372,31.62944963,75.78964509,2277746372,08/05/21,08/05/21,Q2,,216,,Bariana,,31.62944963,75.78964509,,,,971,,
Bhunga,SHC,,267,Bassi Wajid,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8835623821,31.6685354,75.8459512,8835623821,04/05/21,04/05/21,Q2,,216,,Bassi Wajid,,31.6685354,75.8459512,,,,464,,
Bhunga,SHC,,267,Chautala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7415852883,31.6660678,75.7500497,7415852883,30/04/21,30/04/21,Q2,,216,,Chautala,,31.6660678,75.7500497,,457,740,"2,238",740,740
Bhunga,SHC,,267,Daffer,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1113158636,31.7831786,75.7231821,1113158636,23/04/21,23/04/21,Q2,,216,,Daffer,,31.7831786,75.7231821,,199,268,"4,438",268,268
Bhunga,SHC,,267,Dholbaha,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1212347155,31.7321841,75.8749995,1212347155,01/10/21,01/10/21,Q4,,216,,Dholbaha,,31.7321841,75.8749995,,,,"1,719",,
Bhunga,SHC,,267,Dhuga Kalan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7846731334,31.7213196,75.6868069,7846731334,03/04/21,03/04/21,Q2,,216,,Dhuga Kalan,,31.7213196,75.6868069,,358,555,"4,573",555,555
Bhunga,SHC,,267,Gardhiwala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3426354878,31.74262016,75.7535585,3426354878,08/10/21,08/10/21,Q4,,216,,Gardhiwala,,31.74262016,75.7535585,,62,113,"2,507",113,113
Bhunga,SHC,,267,Gondpur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5347837238,31.7304414,75.7675086,5347837238,30/11/19,30/11/19,Q4,,216,,Gondpur,,31.7304414,75.7675086,,549,"1,079","5,705","1,079","1,063"
Bhunga,SHC,,267,Kangmai,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3714477662,31.6708638,75.8139912,3714477662,29/10/21,29/10/21,Q4,,216,,Kangmai,,31.6708638,75.8139912,,,,"1,129",,
Bhunga,SHC,,267,Mustapur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8861883216,31.5466025,75.9176324,8861883216,30/07/20,30/07/20,Q3,,216,,Mustapur,,31.5466025,75.9176324,,687,"1,047","6,172","1,303","1,166"
Bhunga,SHC,,267,Neela Naloya,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5238787419,31.6491975,75.8695534,5238787419,29/09/21,29/09/21,Q3,,216,,Neela Naloya,,31.6491975,75.8695534,,33,40,"2,055",61,36
Bhunga,SHC,,267,Pandori Sumbla,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7258744320,31.7228701,75.7740311,7258744320,11/08/21,11/08/21,Q3,,216,,Pandori Sumbla,,31.7228701,75.7740311,,52,56,888,101,101
Bhunga,SHC,,267,Ramtatwali,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4144483536,31.7442153,75.8641071,4144483536,06/05/21,06/05/21,Q2,,216,,Ramtatwali,,31.7442153,75.8641071,,,,356,,
Budha Bar,SHC,,40364,Bigowal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1114556184,32.0155478,75.6731707,1114556184,30/04/21,30/04/21,Q2,,0,,Bigowal,,32.0155478,75.6731707,,51,2,959,94,59
Budha Bar,SHC,,40364,Daggan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1114556275,31.9492264,75.7024384,1114556275,05/04/21,05/04/21,Q2,,0,,Daggan,,31.9492264,75.7024384,,437,644,"2,317",838,620
Budha Bar,SHC,,40364,Dhamia,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1114556333,31.9751149,75.6948678,1114556333,04/08/20,04/08/20,Q3,,0,,Dhamia,,31.9751149,75.6948678,,"1,382","2,311","5,517","2,386","2,327"
Budha Bar,SHC,,40364,Ferozpur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1114556366,32.0199054,75.6491812,1114556366,20/04/21,19/04/21,Q2,,0,,Ferozpur,,32.0199054,75.6491812,,191,316,"2,886",316,316
Budha Bar,SHC,,40364,Gurdaspur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1114556424,32.0376788,75.6139649,1114556424,30/11/19,30/11/19,Q4,,0,,Gurdaspur,,32.0376788,75.6139649,,981,"4,465","7,008","4,790",990
Budha Bar,SHC,,40364,Kolian,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1114556457,31.977179,75.5733371,1114556457,30/06/19,30/06/19,Q2,,0,,Kolian,,31.977179,75.5733371,,"1,063","1,970","12,388","1,970","1,970"
Budha Bar,SHC,,40364,Kotli Khas,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1114556630,32.0461913,75.6409931,1114556630,30/06/19,30/06/19,Q2,,0,,Kotli Khas,,32.0461913,75.6409931,,559,"1,460","12,509","1,460","1,141"
Budha Bar,SHC,,40364,Latifpur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1114556663,31.9530297,75.6081878,1114556663,30/11/19,30/11/19,Q4,,0,,Latifpur,,31.9530297,75.6081878,,336,597,"6,699",793,793
