Block Name,Category,District Name,HealthBlock ID,HFI,Highlight,Hyper Link,Latitude,Longitude,Nin 2 Hfi,Operational Date,Progressive Date,Quarter of Operational Date,State Name1,Taluka ID,DistrictProgressColor,HFI Name,Geometry (generated),Latitude (generated),Longitude (generated),test,breastcancer,diabetes,footfall,Hypertension,Oralcancer
,UPHC,,0,UPHC Araika Mohalla,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1478358243,31.3749142,75.3705483,1478358243,30/06/19,30/06/19,Q2,,206,,UPHC Araika Mohalla,,31.3749142,75.3705483,,0,513,"8,868",656,0
Dhilwan,SHC,,287,Bamuwal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3817577764,31.5051606,75.4364756,3817577764,29/09/21,29/09/21,Q3,,0,,Bamuwal,,31.5051606,75.4364756,,0,0,"3,536",20,0
Dhilwan,SHC,,287,Bhadas,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4283775817,31.5843212,75.5056635,4283775817,29/09/21,29/09/21,Q3,,0,,Bhadas,,31.5843212,75.5056635,,79,197,246,138,197
Dhilwan,SHC,,287,Daudpur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3632458869,31.5509477,75.3962252,3632458869,21/05/21,21/05/21,Q2,,0,,Daudpur,,31.5509477,75.3962252,,55,110,"3,178",110,95
Dhilwan,SHC,,287,Dham,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5475385380,31.43694927,75.38904269,5475385380,10/03/21,10/03/21,Q1,,0,,Dham,,31.43694927,75.38904269,,0,25,"3,790",36,0
Dhilwan,SHC,,287,Ibrahimwal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1673844815,31.577822,75.4430303,1673844815,04/09/21,04/09/21,Q3,,0,,Ibrahimwal,,31.577822,75.4430303,,5,75,"5,140",82,1
Dhilwan,SHC,,287,Lakhan Khurd,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6842151117,31.4537951,75.4331981,6842151117,04/09/21,04/09/21,Q3,,0,,Lakhan Khurd,,31.4537951,75.4331981,,0,0,"3,251",15,0
Dhilwan,SHC,,287,Manatalwandi,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7713784713,31.4993406,75.4707027,7713784713,04/09/21,04/09/21,Q3,,0,,Manatalwandi,,31.4993406,75.4707027,,0,17,"3,880",25,0
Dhilwan,SHC,,287,Mudowal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7675777176,31.5010639,75.4131675,7675777176,04/09/21,04/09/21,Q3,,0,,Mudowal,,31.5010639,75.4131675,,151,203,"2,429",268,249
Dhilwan,SHC,,287,Murar,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2768164473,31.46907574,75.44593277,2768164473,05/04/21,05/04/21,Q2,,0,,Murar,,31.46907574,75.44593277,,0,21,"4,375",14,0
Dhilwan,SHC,,287,Nadala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8712864548,31.54683968,75.4272995,8712864548,07/03/21,07/03/21,Q1,,0,,Nadala,,31.54683968,75.4272995,,0,26,"5,616",41,0
Dhilwan,SHC,,287,Nangal Lubana,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5448657725,31.6119813,75.4728872,5448657725,29/09/21,29/09/21,Q3,,0,,Nangal Lubana,,31.6119813,75.4728872,,406,884,"1,318",894,884
Dhilwan,SHC,,287,Raipurpirbuxwala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7734781714,31.5670059,75.4641492,7734781714,04/09/21,04/09/21,Q3,,0,,Raipurpirbuxwala,,31.5670059,75.4641492,,0,27,"3,917",27,0
Dhilwan,SHC,,287,Sher singhwala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6351217523,31.5044664,75.5124762,6351217523,04/09/21,04/09/21,Q3,,0,,Sher singhwala,,31.5044664,75.5124762,,0,16,"2,110",38,0
Dhilwan,SHC,,287,Subhanpur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4668144753,31.4673109,75.4058035,4668144753,07/03/21,07/03/21,Q1,,0,,Subhanpur,,31.4673109,75.4058035,,5,47,"3,870",66,13
Kala Sanghian,PHC,,40376,PHC Bhanolanga,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7873682228,31.263835,75.3231795,7873682228,30/06/19,30/06/19,Q2,,0,,PHC Bhanolanga,,31.263835,75.3231795,,158,343,"3,365","1,219",293
Kala Sanghian,PHC,,40376,PHC Khallu,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8376664531,31.34799808,75.29604176,8376664531,30/06/19,30/06/19,Q2,,0,,PHC Khallu,,31.34799808,75.29604176,,220,814,"3,343","1,144",746
Kala Sanghian,PHC,,40376,PHC Surakhpur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8487132576,31.3947971,75.2772543,8487132576,30/06/19,30/06/19,Q2,,0,,PHC Surakhpur,,31.3947971,75.2772543,,275,527,"3,908",629,430
Kala Sanghian,SHC,,40376,Ahmedpur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4576288239,31.3276889,75.4670619,4576288239,14/03/21,14/03/21,Q1,,0,,Ahmedpur,,31.3276889,75.4670619,,250,416,"5,054",535,457
Kala Sanghian,SHC,,40376,Arianwal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6382368360,31.3241902,75.3869144,6382368360,29/07/20,29/07/20,Q3,,0,,Arianwal,,31.3241902,75.3869144,,"1,274","2,568","8,072","2,567","2,552"
Kala Sanghian,SHC,,40376,Bhandalbet,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6427642746,31.4470118,75.2907417,6427642746,29/09/21,29/09/21,Q3,,0,,Bhandalbet,,31.4470118,75.2907417,,0,51,"3,479",107,0
Kala Sanghian,SHC,,40376,Dhaliwalbet,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1282878337,31.4740813,75.3162552,1282878337,29/09/21,29/09/21,Q3,,0,,Dhaliwalbet,,31.4740813,75.3162552,,0,50,"3,753",57,0
Kala Sanghian,SHC,,40376,Dhudianwal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3331556211,31.3381331,75.3398632,3331556211,30/11/19,30/11/19,Q4,,0,,Dhudianwal,,31.3381331,75.3398632,,250,315,"11,428",315,284
Kala Sanghian,SHC,,40376,Kala Sanghian,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5486877219,31.26143588,75.44553186,5486877219,22/07/21,22/07/21,Q3,,0,,Kala Sanghian,,31.26143588,75.44553186,,0,0,880,0,0
Kala Sanghian,SHC,,40376,Kolianwal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3585686342,31.3477837,75.2845449,3585686342,29/07/20,29/07/20,Q3,,0,,Kolianwal,,31.3477837,75.2845449,,"1,090","1,483","5,887","1,564","1,384"
Kala Sanghian,SHC,,40376,Noorpur Lubana,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3884181631,31.4687738,75.3516025,3884181631,29/09/21,29/09/21,Q3,,0,,Noorpur Lubana,,31.4687738,75.3516025,,0,81,"3,277",81,0
Kala Sanghian,SHC,,40376,Saidowal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2522618210,31.3176798,75.3713681,2522618210,16/05/21,16/05/21,Q2,,0,,Saidowal,,31.3176798,75.3713681,,301,356,"5,984",646,556
Kala Sanghian,SHC,,40376,Sangojla,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8473557364,31.43386743,75.27911913,8473557364,29/09/21,29/09/21,Q3,,0,,Sangojla,,31.43386743,75.27911913,,30,95,"2,211",95,38
Kala Sanghian,SHC,,40376,Wadalakalan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8528187571,31.363541,75.4276647,8528187571,29/07/20,29/07/20,Q3,,0,,Wadalakalan,,31.363541,75.4276647,,133,10,"6,706",144,187
Panchhat,PHC,,40377,PHC Atholi,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7647564249,31.232433,75.7151605,7647564249,30/06/19,30/06/19,Q2,,0,,PHC Atholi,,31.232433,75.7151605,,194,402,"4,497",402,362
Panchhat,PHC,,40377,PHC Palahi,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2874314764,31.2591863,75.7598608,2874314764,04/03/21,04/03/21,Q1,,0,,PHC Palahi,,31.2591863,75.7598608,,320,"1,141","1,473","1,421",792
Panchhat,PHC,,40377,PHC Ranipur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5287384563,31.21776636,75.75399964,5287384563,30/06/19,30/06/19,Q2,,0,,PHC Ranipur,,31.21776636,75.75399964,,174,428,"3,253",426,421
Panchhat,SHC,,40377,Chaheru,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3174446371,31.2683025,75.6948046,3174446371,29/07/20,29/07/20,Q3,,0,,Chaheru,,31.2683025,75.6948046,,"2,183",664,"6,471","3,420","3,104"
Panchhat,SHC,,40377,Darveshpind,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2578843357,31.1913746,75.6958952,2578843357,14/03/21,14/03/21,Q1,,0,,Darveshpind,,31.1913746,75.6958952,,347,644,"4,125",644,594
Panchhat,SHC,,40377,Maheru,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3836441372,31.2437786,75.6843544,3836441372,29/07/20,29/07/20,Q3,,0,,Maheru,,31.2437786,75.6843544,,404,148,"6,426",881,533
Panchhat,SHC,,40377,Nangal Mazza,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6418682768,31.2619383,75.7337364,6418682768,30/11/19,30/11/19,Q4,,0,,Nangal Mazza,,31.2619383,75.7337364,,801,"1,489","4,822","1,489","1,485"
Panchhat,SHC,,40377,Pandori,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5141253145,31.2456099,75.8292457,5141253145,29/09/21,29/09/21,Q3,,0,,Pandori,,31.2456099,75.8292457,,0,11,"1,831",42,0
Panchhat,SHC,,40377,Thakarki,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3357424682,31.2013228,75.7452244,3357424682,29/07/20,29/07/20,Q3,,0,,Thakarki,,31.2013228,75.7452244,,863,135,"6,592","1,365","1,282"
Panchhat,SHC,,40377,Uchapind,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1345848186,31.3196686,75.6422177,1345848186,29/09/21,29/09/21,Q3,,0,,Uchapind,,31.3196686,75.6422177,,0,16,"1,223",21,0
Tibba,PHC,,40378,PHC Didwindi,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8571674855,31.2460484,75.2666958,8571674855,30/06/19,30/06/19,Q2,,0,,PHC Didwindi,,31.2460484,75.2666958,,1,453,"3,591",716,2
Tibba,PHC,,40378,PHC Kabirpur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5177844726,31.3256206,75.3468659,5177844726,30/06/19,30/06/19,Q2,,0,,PHC Kabirpur,,31.3256206,75.3468659,,303,282,"2,461",963,84
Tibba,PHC,,40378,PHC Paramjitpur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7768546629,31.2527595,75.1328293,7768546629,30/06/19,30/06/19,Q2,,0,,PHC Paramjitpur,,31.2527595,75.1328293,,9,49,"1,818",264,7
Tibba,SHC,,40378,Bidhipur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3484358134,31.2941317,75.1933873,3484358134,14/03/21,14/03/21,Q1,,0,,Bidhipur,,31.2941317,75.1933873,,206,331,"4,975",331,334
Tibba,SHC,,40378,Mewa Singh Wala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7666624742,31.2183425,75.1955685,7666624742,30/11/19,30/11/19,Q4,,0,,Mewa Singh Wala,,31.2183425,75.1955685,,849,"1,433","11,907","1,433","1,433"
Tibba,SHC,,40378,Nawan Thatta,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6222416510,31.329739,75.2258456,6222416510,14/03/21,14/03/21,Q1,,0,,Nawan Thatta,,31.329739,75.2258456,,116,177,"4,939",177,177
Tibba,SHC,,40378,Rampur  Jagir,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5231416552,31.180256,75.25935678,5231416552,30/11/19,30/11/19,Q4,,0,,Rampur  Jagir,,31.180256,75.25935678,,878,"1,449","6,007","1,320","1,436"
Tibba,SHC,,40378,Talwandi Choudrian,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1387857756,31.3000715,75.1755142,1387857756,04/05/21,04/05/21,Q2,,0,,Talwandi Choudrian,,31.3000715,75.1755142,,22,222,"4,087",307,26
