Block Name,Category,District Name,HealthBlock ID,HFI,Highlight,Hyper Link,Latitude,Longitude,Nin 2 Hfi,Operational Date,Progressive Date,Quarter of Operational Date,State Name1,Taluka ID,DistrictProgressColor,HFI Name,Geometry (generated),Latitude (generated),Longitude (generated),test,breastcancer,diabetes,footfall,Hypertension,Oralcancer
Budhlada,SHC,,305,Alampur Mandra,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8223482582,29.8347839,75.4530638,8223482582,30/06/19,30/06/19,Q2,,248,,Alampur Mandra,,29.8347839,75.4530638,,842,"1,563","5,264","1,563","1,550"
Budhlada,SHC,,305,Bachhuana,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7652161618,29.9591429,75.6093514,7652161618,08/10/21,08/10/21,Q4,,248,,Bachhuana,,29.9591429,75.6093514,,175,256,"1,304",256,256
Budhlada,SHC,,305,Bahadurpur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4364183378,29.8782238,75.7032764,4364183378,09/06/21,09/06/21,Q2,,248,,Bahadurpur,,29.8782238,75.7032764,,10,100,"1,516",147,20
Budhlada,SHC,,305,Bareh,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1748658547,29.9017538,75.4913058,1748658547,21/10/21,21/10/21,Q4,,248,,Bareh,,29.9017538,75.4913058,,109,477,"2,842",477,140
Budhlada,SHC,,305,Bhadra,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8283224825,30.0059496,75.6424478,8283224825,09/03/21,09/03/21,Q1,,248,,Bhadra,,30.0059496,75.6424478,,313,611,"3,185",611,611
Budhlada,SHC,,305,Chak Bhai Ke,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5452347783,29.9253907,75.5580087,5452347783,10/03/21,10/03/21,Q1,,248,,Chak Bhai Ke,,29.9253907,75.5580087,,233,874,"5,115",874,874
Budhlada,SHC,,305,Dharampura,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3846514440,29.8296693,75.6446297,3846514440,10/03/21,10/03/21,Q1,,248,,Dharampura,,29.8296693,75.6446297,,68,278,"1,709",364,177
Budhlada,SHC,,305,Gandu Kalan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8387354163,29.7850597,75.5391335,8387354163,09/03/21,09/03/21,Q1,,248,,Gandu Kalan,,29.7850597,75.5391335,,103,500,"3,896",500,500
Budhlada,SHC,,305,Gobindpura,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8772738129,29.8847659,75.6468115,8772738129,09/03/21,09/03/21,Q1,,248,,Gobindpura,,29.8847659,75.6468115,,483,832,"4,084",824,832
Budhlada,SHC,,305,Gurne Kalan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4753434630,29.9694231,75.5460476,4753434630,30/11/19,30/11/19,Q4,,248,,Gurne Kalan,,29.9694231,75.5460476,,"1,655","2,655","12,318","2,751","2,748"
Budhlada,SHC,,305,Malkon,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8445654661,29.8075916,75.4430854,8445654661,30/06/19,30/06/19,Q2,,248,,Malkon,,29.8075916,75.4430854,,"1,031","1,977","7,166","1,977","1,977"
Budhlada,SHC,,305,Mall Singh Wala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5726467771,29.871496,75.4974913,5726467771,10/03/21,10/03/21,Q1,,248,,Mall Singh Wala,,29.871496,75.4974913,,511,"1,141","3,788","1,141","1,141"
Budhlada,SHC,,305,Rampur Mander,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7484525733,29.8671495,75.5485949,7484525733,10/03/21,10/03/21,Q1,,248,,Rampur Mander,,29.8671495,75.5485949,,710,"1,024","1,079","1,194","1,045"
Budhlada,SHC,,305,Saidewala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8834117346,29.8253969,75.5374617,8834117346,10/03/21,10/03/21,Q1,,248,,Saidewala,,29.8253969,75.5374617,,499,899,"3,600",899,899
Budhlada,SHC,,305,Tahilian,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3758537587,29.8697905,75.4550466,3758537587,30/06/19,30/06/19,Q2,,248,,Tahilian,,29.8697905,75.4550466,,"1,080","1,974","6,300","1,974","1,974"
Khiala Kalan,SHC,,40385,Aklia,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2586138782,30.1822163,75.4038228,2586138782,15/04/21,15/04/21,Q2,,0,,Aklia,,30.1822163,75.4038228,,"1,921","2,915","12,451","3,558","3,558"
Khiala Kalan,SHC,,40385,Alisher khurd,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6867741271,30.1112461,75.4779841,6867741271,28/04/20,28/04/20,Q2,,0,,Alisher khurd,,30.1112461,75.4779841,,"1,102",358,"5,492","1,545","1,705"
Khiala Kalan,SHC,,40385,Barnala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3463687321,29.9255719,75.3851203,3463687321,08/03/21,08/03/21,Q1,,0,,Barnala,,29.9255719,75.3851203,,393,"2,175","4,536","2,175","2,175"
Khiala Kalan,SHC,,40385,Burj Hari,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2146878547,30.068592,75.5322191,2146878547,30/06/19,30/06/19,Q2,,0,,Burj Hari,,30.068592,75.5322191,,965,"1,502","6,372","1,815","1,815"
Khiala Kalan,SHC,,40385,Gharaghana,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4548467259,29.9367205,75.346137,4548467259,30/03/20,30/03/20,Q1,,0,,Gharaghana,,29.9367205,75.346137,,"1,639",326,"9,333","2,629","2,629"
Khiala Kalan,SHC,,40385,Hiron Kalan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7246386275,30.0938247,75.6425942,7246386275,15/03/21,15/03/21,Q1,,0,,Hiron Kalan,,30.0938247,75.6425942,,314,"1,125","6,926","1,665","1,520"
Khiala Kalan,SHC,,40385,Jawahar Ke,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2574484412,29.9695408,75.3989625,2574484412,31/07/19,31/07/19,Q3,,0,,Jawahar Ke,,29.9695408,75.3989625,,"1,472",625,"8,868","2,456","2,323"
Khiala Kalan,SHC,,40385,Khiwa Kalan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2447817814,30.1020608,75.5598749,2447817814,26/08/21,26/08/21,Q3,,0,,Khiwa Kalan,,30.1020608,75.5598749,,765,"1,446","5,509","1,809","1,588"
Khiala Kalan,SHC,,40385,Kotra (Bhikhi-2),,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7477313287,30.0538324,75.4931878,7477313287,30/11/19,30/11/19,Q4,,0,,Kotra (Bhikhi-2),,30.0538324,75.4931878,,871,315,"6,257","1,551","1,551"
Khiala Kalan,SHC,,40385,Matti,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8643454146,30.1208617,75.5227567,8643454146,10/03/21,10/03/21,Q1,,0,,Matti,,30.1208617,75.5227567,,"1,389",715,"7,735","3,048","2,829"
Khiala Kalan,SHC,,40385,Phaphre Bhai Ke,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6866777250,29.9815087,75.5118378,6866777250,10/03/21,10/03/21,Q1,,0,,Phaphre Bhai Ke,,29.9815087,75.5118378,,573,696,"6,606","1,827",782
Khiala Kalan,SHC,,40385,Ralla,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3847541467,30.1201211,75.4365306,3847541467,30/11/19,30/11/19,Q4,,0,,Ralla,,30.1201211,75.4365306,,"1,212","1,024","9,162","2,404","2,282"
Khiala Kalan,SHC,,40385,Samaon,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7577254381,30.0740133,75.5336964,7577254381,21/10/20,21/10/20,Q4,,0,,Samaon,,30.0740133,75.5336964,,310,"1,899","6,335","1,899",954
Khiala Kalan,SHC,,40385,Thuthianwali,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3817654837,30.037443,75.3847408,3817654837,31/07/19,31/07/19,Q3,,0,,Thuthianwali,,30.037443,75.3847408,,"1,187",300,"9,065","2,263","2,197"
Sardulgarh,SHC,,308,Baghwanpur Higna,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8513647381,29.66707089,75.30780664,8513647381,08/03/21,08/03/21,Q1,,0,,Baghwanpur Higna,,29.66707089,75.30780664,,530,543,"2,268",546,138
Sardulgarh,SHC,,308,Bajewala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1437384728,29.8815295,75.3031001,1437384728,10/03/21,10/03/21,Q1,,0,,Bajewala,,29.8815295,75.3031001,,490,66,"4,261","1,345","1,115"
