Block Name,Category,District Name,HealthBlock ID,HFI,Highlight,Hyper Link,Latitude,Longitude,Nin 2 Hfi,Operational Date,Progressive Date,Quarter of Operational Date,State Name1,Taluka ID,DistrictProgressColor,HFI Name,Geometry (generated),Latitude (generated),Longitude (generated),test,breastcancer,diabetes,footfall,Hypertension,Oralcancer
Daroli Bhai,SHC,,40386,Jhandeiana Garbi,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1788475232,30.8186042,75.1842742,1788475232,30/03/20,30/03/20,Q1,,0,,Jhandeiana Garbi,,30.8186042,75.1842742,,595,137,"4,603","1,439","1,298"
Daroli Bhai,SHC,,40386,Khukhrana,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1252226244,30.8364636,74.9809677,1252226244,30/03/20,30/03/20,Q1,,0,,Khukhrana,,30.8364636,74.9809677,,299,426,"6,262","1,234",973
Daroli Bhai,SHC,,40386,Ratian,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4777264237,30.8269616,75.1149493,4777264237,30/06/19,30/06/19,Q2,,0,,Ratian,,30.8269616,75.1149493,,156,587,"5,098",587,394
Daroli Bhai,SHC,,40386,Saffuwala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6628418763,30.7425766,75.0744381,6628418763,30/06/19,30/06/19,Q2,,0,,Saffuwala,,30.7425766,75.0744381,,213,591,"5,235",618,530
Dhudike,SHC,,40387,Ajitwal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8314286371,30.8116647,75.3552461,8314286371,30/03/20,30/03/20,Q1,,0,,Ajitwal,,30.8116647,75.3552461,,384,"1,221","3,853","1,221","1,071"
Dhudike,SHC,,40387,Bahona,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7321111374,30.7750801,75.2079384,7321111374,31/12/19,31/12/19,Q4,,0,,Bahona,,30.7750801,75.2079384,,30,892,"3,723",893,862
Dhudike,SHC,,40387,Budh Singh Wala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2116653326,30.7590328,75.1733255,2116653326,30/03/20,30/03/20,Q1,,0,,Budh Singh Wala,,30.7590328,75.1733255,,507,"1,126","6,548","1,158","1,117"
Dhudike,SHC,,40387,Chugawan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8655872466,30.8297694,75.2662372,8655872466,30/03/20,30/03/20,Q1,,0,,Chugawan,,30.8297694,75.2662372,,568,986,"6,437",986,838
Dhudike,SHC,,40387,Dala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6768426667,30.8421943,75.2185522,6768426667,31/12/19,31/12/19,Q4,,0,,Dala,,30.8421943,75.2185522,,977,"1,949","6,144","1,949","1,930"
Dhudike,SHC,,40387,Jhandewala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4672438266,30.7434498,75.1707515,4672438266,29/07/20,29/07/20,Q3,,0,,Jhandewala,,30.7434498,75.1707515,,114,745,"5,530",905,378
