Block Name,Category,District Name,HealthBlock ID,HFI,Highlight,Hyper Link,Latitude,Longitude,Nin 2 Hfi,Operational Date,Progressive Date,Quarter of Operational Date,State Name1,Taluka ID,DistrictProgressColor,HFI Name,Geometry (generated),Latitude (generated),Longitude (generated),test,breastcancer,diabetes,footfall,Hypertension,Oralcancer
,UPHC,,0,UPHC Malout,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2131762169,30.1930056,74.506663,2131762169,30/06/19,30/06/19,Q2,,239,,UPHC Malout,,30.1930056,74.506663,,0,257,"7,343",358,0
,UPHC,,0,UPHC Muktsar,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5766233885,30.4860398,74.5209699,5766233885,30/06/19,30/06/19,Q2,,241,,UPHC Muktsar,,30.4860398,74.5209699,,36,169,"13,015",207,48
Alamwala,SHC,,40392,Aulakh,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5486238636,30.2736932,74.5106226,5486238636,30/06/19,30/06/19,Q2,,0,,Aulakh,,30.2736932,74.5106226,,168,"1,107","7,645","1,367",476
Alamwala,SHC,,40392,Baam,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8364326465,30.384055,74.3461004,8364326465,30/06/19,30/06/19,Q2,,0,,Baam,,30.384055,74.3461004,,197,"1,029","8,898","3,140","1,940"
Alamwala,SHC,,40392,Bhangchari,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4782666277,30.3820942,74.466535,4782666277,21/04/20,21/04/20,Q2,,0,,Bhangchari,,30.3820942,74.466535,,227,"2,755","12,666","3,594","2,001"
Alamwala,SHC,,40392,Burj Sidhwan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3578743563,30.1667917,74.4641029,3578743563,30/06/19,30/06/19,Q2,,0,,Burj Sidhwan,,30.1667917,74.4641029,,600,"1,090","12,134","3,826","2,439"
Alamwala,SHC,,40392,Jand Wala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5113623234,30.1908629,74.4915767,5113623234,30/11/19,30/11/19,Q4,,0,,Jand Wala,,30.1908629,74.4915767,,0,"1,411","8,886","3,297","1,465"
Alamwala,SHC,,40392,Jhurar,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1458833645,30.2795653,74.4893789,1458833645,21/04/20,21/04/20,Q2,,0,,Jhurar,,30.2795653,74.4893789,,33,426,"6,402","1,505",145
Alamwala,SHC,,40392,Midda,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8677581459,30.2936405,74.3563646,8677581459,21/04/20,21/04/20,Q2,,0,,Midda,,30.2936405,74.3563646,,243,620,"7,261","2,032",509
Alamwala,SHC,,40392,Pakki,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1212136822,30.1669221,74.3597223,1212136822,30/11/19,30/11/19,Q4,,0,,Pakki,,30.1669221,74.3597223,,113,"1,764","8,124","2,395","1,076"
Alamwala,SHC,,40392,Pind Malout,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7673776238,30.2113042,74.4860823,7673776238,30/11/19,30/11/19,Q4,,0,,Pind Malout,,30.2113042,74.4860823,,"2,023",360,"13,048","3,252","3,160"
Alamwala,SHC,,40392,Rathrian,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8727473160,30.1575424,74.5315709,8727473160,30/11/19,30/11/19,Q4,,0,,Rathrian,,30.1575424,74.5315709,,2,"1,095","7,103","1,648",262
Alamwala,SHC,,40392,Shergarh,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4144544436,30.3007966,74.366569,4144544436,20/04/21,20/04/21,Q2,,0,,Shergarh,,30.3007966,74.366569,,42,747,"2,696",782,810
Alamwala,SHC,,40392,Tamkot,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5331133313,30.3772014,74.5208773,5331133313,30/11/19,30/11/19,Q4,,0,,Tamkot,,30.3772014,74.5208773,,9,"2,619","9,478","3,104","2,012"
Alamwala,SHC,,40392,Tarkhan Wala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1585611237,30.3225527,74.3802204,1585611237,30/06/19,30/06/19,Q2,,0,,Tarkhan Wala,,30.3225527,74.3802204,,"1,133","2,763","10,160","2,869","1,540"
Alamwala,SHC,,40392,Virk Khera,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8463133861,30.2841063,74.3761582,8463133861,30/11/19,30/11/19,Q4,,0,,Virk Khera,,30.2841063,74.3761582,,"1,016","1,525","12,003","2,547","2,234"
Chak Sherewala,PHC,,40393,PHC Hari Ke Kalan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3556438749,30.4817974,74.7063928,3556438749,30/06/19,30/06/19,Q2,,0,,PHC Hari Ke Kalan,,30.4817974,74.7063928,,0,748,"13,314",905,0
Chak Sherewala,PHC,,40393,PHC Kanianwali,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1623531538,30.6251674,74.5194124,1623531538,30/06/19,30/06/19,Q2,,0,,PHC Kanianwali,,30.6251674,74.5194124,,0,261,"9,033",241,0
Chak Sherewala,SHC,,40393,Baja Madhar,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2751412251,30.5567707,74.6451963,2751412251,30/03/20,30/03/20,Q1,,0,,Baja Madhar,,30.5567707,74.6451963,,96,"2,100","6,961","4,242","3,370"
Chak Sherewala,SHC,,40393,Barkandi,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5311645161,30.4367678,74.5681641,5311645161,30/11/19,30/11/19,Q4,,0,,Barkandi,,30.4367678,74.5681641,,100,"2,534","9,675","4,266","3,612"
Chak Sherewala,SHC,,40393,Bhangewala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4382418541,30.6446542,74.5644528,4382418541,30/11/19,30/11/19,Q4,,0,,Bhangewala,,30.6446542,74.5644528,,156,"1,778","6,524","2,573","2,506"
Chak Sherewala,SHC,,40393,Chibran wali,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4817482716,30.3944998,74.4029126,4817482716,30/03/20,30/03/20,Q1,,0,,Chibran wali,,30.3944998,74.4029126,,"1,127","2,219","10,436","2,865","2,558"
Chak Sherewala,SHC,,40393,Gulabewala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3265755110,30.5631384,74.4778505,3265755110,06/04/21,06/04/21,Q2,,0,,Gulabewala,,30.5631384,74.4778505,,117,"1,191","4,733","1,284",598
Chak Sherewala,SHC,,40393,Jandoke,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6817283432,30.5926203,74.6127759,6817283432,30/03/20,30/03/20,Q1,,0,,Jandoke,,30.5926203,74.6127759,,"1,407","2,178","9,686","2,417","2,260"
Chak Sherewala,SHC,,40393,Jhabelwali,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2836575841,30.5129901,74.6001905,2836575841,30/06/19,30/06/19,Q2,,0,,Jhabelwali,,30.5129901,74.6001905,,243,"2,322","7,159","2,718","2,574"
