Block Name,Category,District Name,HealthBlock ID,HFI,Highlight,Hyper Link,Latitude,Longitude,Nin 2 Hfi,Operational Date,Progressive Date,Quarter of Operational Date,State Name1,Taluka ID,DistrictProgressColor,HFI Name,Geometry (generated),Latitude (generated),Longitude (generated),test,breastcancer,diabetes,footfall,Hypertension,Oralcancer
Bungal Badhani,SHC,,40363,Batwan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7322485470,32.4265127,75.84813,7322485470,27/07/20,27/07/20,Q3,,0,,Batwan,,32.4265127,75.84813,,191,"1,355","7,620","2,073",677
Bungal Badhani,SHC,,40363,Drung Khad,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7413587341,32.1741247,75.3880346,7413587341,26/02/21,26/02/21,Q1,,0,,Drung Khad,,32.1741247,75.3880346,,,,"4,447",,
Bungal Badhani,SHC,,40363,Dukh Naili,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6481843651,32.4490108,75.8810383,6481843651,26/02/21,26/02/21,Q1,,0,,Dukh Naili,,32.4490108,75.8810383,,51,1,"3,384",125,126
Bungal Badhani,SHC,,40363,Fangtoli,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2583785767,32.3203352,75.7509243,2583785767,31/01/20,31/01/20,Q1,,0,,Fangtoli,,32.3203352,75.7509243,,488,664,"6,923","3,434",590
Bungal Badhani,SHC,,40363,Ferozepur Kalan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6468187171,32.33314231,75.57921705,6468187171,26/02/21,26/02/21,Q1,,0,,Ferozepur Kalan,,32.33314231,75.57921705,,358,"1,088","6,033","1,951",534
Bungal Badhani,SHC,,40363,Hara,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4324735382,32.2805626,75.6601612,4324735382,10/03/21,10/03/21,Q1,,0,,Hara,,32.2805626,75.6601612,,0,79,"2,253",132,105
Bungal Badhani,SHC,,40363,Mirzapur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1884518737,32.355554,75.5931838,1884518737,02/03/21,02/03/21,Q1,,0,,Mirzapur,,32.355554,75.5931838,,7,131,"3,126","1,045",258
Bungal Badhani,SHC,,40363,Ranipur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6861728282,32.12486213,75.46765292,6861728282,29/10/21,29/10/21,Q4,,0,,Ranipur,,32.12486213,75.46765292,,41,616,"3,938","2,040","2,084"
GHAROTA,SHC,,6779,Abadgarh,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4338441274,32.2821222,75.6532244,4338441274,26/02/21,26/02/21,Q1,,0,,Abadgarh,,32.2821222,75.6532244,,170,404,"2,754",538,541
GHAROTA,SHC,,6779,Balsua,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7413426847,32.230602,75.5527296,7413426847,21/04/20,21/04/20,Q2,,0,,Balsua,,32.230602,75.5527296,,231,313,"4,318",868,762
GHAROTA,SHC,,6779,Basroop,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7742618346,32.3161964,75.5453372,7742618346,21/04/20,21/04/20,Q2,,0,,Basroop,,32.3161964,75.5453372,,649,676,"4,294",956,915
GHAROTA,SHC,,6779,Farida Nagar,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8631486456,32.1362351,75.4586877,8631486456,10/03/21,10/03/21,Q1,,0,,Farida Nagar,,32.1362351,75.4586877,,0,10,"2,163",21,0
GHAROTA,SHC,,6779,Jhako Lahri,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8262724837,32.2076686,75.5384057,8262724837,21/04/20,21/04/20,Q2,,0,,Jhako Lahri,,32.2076686,75.5384057,,0,801,"5,195",799,769
GHAROTA,SHC,,6779,Lado Chak,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4363823289,32.2800602,75.6449933,4363823289,07/06/21,07/06/21,Q2,,0,,Lado Chak,,32.2800602,75.6449933,,163,184,"3,727",254,252
GHAROTA,SHC,,6779,Mamoon,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5141115773,32.2772609,75.7049829,5141115773,21/04/20,21/04/20,Q2,,0,,Mamoon,,32.2772609,75.7049829,,196,433,"5,512",989,265
GHAROTA,SHC,,6779,Manwal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8784411459,32.298376,75.6684453,8784411459,21/04/20,21/04/20,Q2,,0,,Manwal,,32.298376,75.6684453,,775,289,"5,531","1,314","1,093"
GHAROTA,SHC,,6779,Narot Mehra,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2724728288,32.260962,75.5729733,2724728288,26/02/21,26/02/21,Q1,,0,,Narot Mehra,,32.260962,75.5729733,,475,945,"5,880",963,813
GHAROTA,SHC,,6779,Naurangpur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4853277574,32.1794551,75.5944375,4853277574,29/10/21,29/10/21,Q4,,0,,Naurangpur,,32.1794551,75.5944375,,0,82,"3,040",196,0
GHAROTA,SHC,,6779,Naushera Nalbanda,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6121661752,32.0584726,75.420077,6121661752,06/10/21,06/10/21,Q4,,0,,Naushera Nalbanda,,32.0584726,75.420077,,0,32,"3,215",107,0
GHAROTA,SHC,,6779,Parmanand,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2716887662,32.2062209,75.5066713,2716887662,04/03/21,04/03/21,Q1,,0,,Parmanand,,32.2062209,75.5066713,,,,"6,727",,
GHAROTA,SHC,,6779,Saidipur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7626378579,32.17241722,75.46956855,7626378579,29/10/21,29/10/21,Q4,,0,,Saidipur,,32.17241722,75.46956855,,,,435,,
NAROT JAIMAL SINGH,SHC,,262,Darsopur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6267748538,32.2113436,75.4454888,6267748538,21/04/20,21/04/20,Q2,,0,,Darsopur,,32.2113436,75.4454888,,0,261,"4,360",286,1
NAROT JAIMAL SINGH,SHC,,262,Datial,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1317883385,32.2462153,75.4051546,1317883385,29/10/21,29/10/21,Q4,,0,,Datial,,32.2462153,75.4051546,,0,221,928,242,222
NAROT JAIMAL SINGH,SHC,,262,Gajju Jagir,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8644711478,32.112712,75.4743434,8644711478,31/10/19,31/10/19,Q4,,0,,Gajju Jagir,,32.112712,75.4743434,,0,424,"2,275",431,450
