Block Name,Category,District Name,HealthBlock ID,HFI,Highlight,Hyper Link,Latitude,Longitude,Nin 2 Hfi,Operational Date,Progressive Date,Quarter of Operational Date,State Name1,Taluka ID,DistrictProgressColor,HFI Name,Geometry (generated),Latitude (generated),Longitude (generated),test,breastcancer,diabetes,footfall,Hypertension,Oralcancer
,UPHC,,0,UPHC City Branch,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1115186635,30.3239258,76.4055789,1115186635,30/06/19,30/06/19,Q2,,253,,UPHC City Branch,,30.3239258,76.4055789,,0,"2,355","18,897","2,258",0
,UPHC,,0,UPHC Jhujar Nagar,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1115187179,30.34403908,76.42253713,1115187179,30/06/19,30/06/19,Q2,,253,,UPHC Jhujar Nagar,,30.34403908,76.42253713,,222,544,"19,293",544,543
,UPHC,,0,UPHC Rajpura 2,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1115187328,30.4879367,76.5942752,1115187328,30/06/19,30/06/19,Q2,,254,,UPHC Rajpura 2,,30.4879367,76.5942752,,230,635,"18,268","2,230",360
,UPHC,,0,UPHC Yadwindra Colony,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1115187146,30.3538305,76.402598,1115187146,30/06/19,30/06/19,Q2,,253,,UPHC Yadwindra Colony,,30.3538305,76.402598,,0,424,"21,207",339,0
Bhadson,PHC,,40398,PHC Babarpur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8852623449,30.4744639,76.1057191,8852623449,30/06/19,30/06/19,Q2,,0,,PHC Babarpur,,30.4744639,76.1057191,,8,"2,546","11,425","2,590",5
Bhadson,PHC,,40398,PHC Kakrala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6123417112,30.3670208,76.0944823,6123417112,30/06/19,30/06/19,Q2,,0,,PHC Kakrala,,30.3670208,76.0944823,,62,558,"5,160","1,089",97
Bhadson,SHC,,40398,Ageti,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5416565215,30.3387412,76.1894227,5416565215,29/10/21,29/10/21,Q4,,0,,Ageti,,30.3387412,76.1894227,,0,308,"2,012",539,0
Bhadson,SHC,,40398,Allowal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6512415230,30.4227511,76.2947936,6512415230,21/04/20,21/04/20,Q2,,0,,Allowal,,30.4227511,76.2947936,,"1,014","1,570","4,153","1,712","1,398"
Bhadson,SHC,,40398,Bhari Panechan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8141823784,30.5366178,76.2835724,8141823784,28/07/20,28/07/20,Q3,,0,,Bhari Panechan,,30.5366178,76.2835724,,473,"1,307","6,531","2,418","1,087"
Bhadson,SHC,,40398,Bridhno,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1165313360,30.5183576,76.1006446,1165313360,09/03/21,09/03/21,Q1,,0,,Bridhno,,30.5183576,76.1006446,,689,282,"3,667",854,967
