Block Name,Category,District Name,HealthBlock ID,HFI,Highlight,Hyper Link,Latitude,Longitude,Nin 2 Hfi,Operational Date,Progressive Date,Quarter of Operational Date,State Name1,Taluka ID,DistrictProgressColor,HFI Name,Geometry (generated),Latitude (generated),Longitude (generated),test,breastcancer,diabetes,footfall,Hypertension,Oralcancer
Bhartgarh,SHC,,40404,Attari,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2714684731,31.289269,76.4293731,2714684731,26/02/21,26/02/21,Q1,,0,,Attari,,31.289269,76.4293731,,86,588,"5,345",664,153
Bhartgarh,SHC,,40404,Balsanda,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4324773276,30.8927319,76.4940813,4324773276,12/03/21,12/03/21,Q1,,0,,Balsanda,,30.8927319,76.4940813,,168,179,"5,280",201,202
Bhartgarh,SHC,,40404,Bardar,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8754672247,30.9029942,76.8599819,8754672247,11/03/21,11/03/21,Q1,,0,,Bardar,,30.9029942,76.8599819,,398,325,"3,052",555,559
Bhartgarh,SHC,,40404,Bhaku Majra,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5288546285,30.9028587,76.4654499,5288546285,26/02/21,26/02/21,Q1,,0,,Bhaku Majra,,30.9028587,76.4654499,,585,384,"4,052",887,665
Bhartgarh,SHC,,40404,Bhangala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1546132257,30.9644064,76.5963194,1546132257,11/03/21,11/03/21,Q1,,0,,Bhangala,,30.9644064,76.5963194,,578,595,"7,578",757,697
Bhartgarh,SHC,,40404,Bikkon,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2827267382,31.0290824,76.6158185,2827267382,30/11/19,30/11/19,Q4,,0,,Bikkon,,31.0290824,76.6158185,,722,916,"8,110","1,031","1,031"
Bhartgarh,SHC,,40404,Chararian,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8557875666,30.9096133,76.5840407,8557875666,15/07/20,15/07/20,Q3,,0,,Chararian,,30.9096133,76.5840407,,594,936,"5,723","1,298","1,266"
Bhartgarh,SHC,,40404,Gardala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3834541835,31.12612886,76.58976836,3834541835,30/11/19,30/11/19,Q4,,0,,Gardala,,31.12612886,76.58976836,,"1,020",750,"12,928","1,761","1,779"
Bhartgarh,SHC,,40404,Lohgarh Fidey,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4631488659,30.9642794,76.5150413,4631488659,26/02/21,26/02/21,Q1,,0,,Lohgarh Fidey,,30.9642794,76.5150413,,533,665,"3,051",825,823
Bhartgarh,SHC,,40404,Mahlan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7377685537,30.9287907,76.4756482,7377685537,26/02/21,26/02/21,Q1,,0,,Mahlan,,30.9287907,76.4756482,,568,785,"3,763",844,784
Bhartgarh,SHC,,40404,Makori Kalan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1222756528,31.0161749,76.5934304,1222756528,21/04/20,21/04/20,Q2,,0,,Makori Kalan,,31.0161749,76.5934304,,366,554,"3,307",614,656
Bhartgarh,SHC,,40404,Malikpur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3885418149,31.0004376,76.5609246,3885418149,30/11/19,30/11/19,Q4,,0,,Malikpur,,31.0004376,76.5609246,,"1,281",925,"3,371","1,909","2,032"
Bhartgarh,SHC,,40404,Mandwara,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5738148336,30.8974265,76.6020972,5738148336,27/02/21,27/02/21,Q1,,0,,Mandwara,,30.8974265,76.6020972,,293,163,"6,115",954,399
Bhartgarh,SHC,,40404,Nangal Sirsa,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7442813767,31.0475599,76.5966078,7442813767,21/04/20,21/04/20,Q2,,0,,Nangal Sirsa,,31.0475599,76.5966078,,477,478,"9,147",748,748
Bhartgarh,SHC,,40404,Rangilpur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8475822279,30.9185977,76.5490037,8475822279,30/06/19,30/06/19,Q2,,0,,Rangilpur,,30.9185977,76.5490037,,"1,619","1,122","14,032","1,866","2,550"
Bhartgarh,SHC,,40404,Singh,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3735427688,30.9678452,76.5155684,3735427688,30/06/19,30/06/19,Q2,,0,,Singh,,30.9678452,76.5155684,,562,559,"8,259","1,760","1,546"
Chamkaur Sahib,PHC,,333,PHC Surtapur Faram,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7431578439,30.9321421,76.4717585,7431578439,25/01/22,25/01/22,Q1,,0,,PHC Surtapur Faram,,30.9321421,76.4717585,,0,0,13,0,0
Chamkaur Sahib,SHC,,333,Badali,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3327728642,30.8281462,76.5594797,3327728642,11/03/21,11/03/21,Q1,,0,,Badali,,30.8281462,76.5594797,,119,218,"5,087",472,406
Chamkaur Sahib,SHC,,333,Bassi Gujran,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8253587730,30.9199876,76.3566738,8253587730,30/11/19,30/11/19,Q4,,0,,Bassi Gujran,,30.9199876,76.3566738,,451,748,"6,471",748,748
Chamkaur Sahib,SHC,,333,Bela,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4758446167,30.93388853,76.40614582,4758446167,21/04/20,21/04/20,Q2,,0,,Bela,,30.93388853,76.40614582,,751,"1,159","6,604","1,148","1,207"
Chamkaur Sahib,SHC,,333,Chalaki,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5753415115,30.7567119,76.5937679,5753415115,21/04/20,21/04/20,Q2,,0,,Chalaki,,30.7567119,76.5937679,,410,761,"7,464",863,841
Chamkaur Sahib,SHC,,333,Chitamali,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6464167839,30.8191936,76.5681488,6464167839,21/04/20,21/04/20,Q2,,0,,Chitamali,,30.8191936,76.5681488,,554,"1,082","6,982","1,114","1,153"
Chamkaur Sahib,SHC,,333,Chotamla,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6837766358,30.8040828,76.5452233,6837766358,30/06/19,30/06/19,Q2,,0,,Chotamla,,30.8040828,76.5452233,,386,533,"4,031",538,532
Chamkaur Sahib,SHC,,333,Churhar Majra,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1382485835,30.8513666,76.4094842,1382485835,29/07/20,29/07/20,Q3,,0,,Churhar Majra,,30.8513666,76.4094842,,491,943,"4,051",943,943
Chamkaur Sahib,SHC,,333,Dhanauri,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6637576775,30.8692472,76.5150413,6637576775,26/05/21,26/05/21,Q2,,0,,Dhanauri,,30.8692472,76.5150413,,508,353,"7,697",892,956
Chamkaur Sahib,SHC,,333,Dhangrali,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6251255243,30.814699,76.5297545,6251255243,21/04/20,21/04/20,Q2,,0,,Dhangrali,,30.814699,76.5297545,,810,"1,311","10,998","1,335","1,335"
Chamkaur Sahib,SHC,,333,Doom Chheri,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8323587579,30.76844351,76.45183274,8323587579,21/04/20,21/04/20,Q2,,0,,Doom Chheri,,30.76844351,76.45183274,,607,798,"6,528",940,940
Chamkaur Sahib,SHC,,333,Fatehpur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7465758576,30.9167792,76.359568,7465758576,26/02/21,26/02/21,Q1,,0,,Fatehpur,,30.9167792,76.359568,,454,913,"7,425",925,886
Chamkaur Sahib,SHC,,333,Gaggon,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5367814869,30.8872434,76.4433936,5367814869,21/04/20,21/04/20,Q2,,0,,Gaggon,,30.8872434,76.4433936,,431,534,"4,633",644,644
