Block Name,Category,District Name,HealthBlock ID,HFI,Highlight,Hyper Link,Latitude,Longitude,Nin 2 Hfi,Operational Date,Progressive Date,Quarter of Operational Date,State Name1,Taluka ID,DistrictProgressColor,HFI Name,Geometry (generated),Latitude (generated),Longitude (generated),test,breastcancer,diabetes,footfall,Hypertension,Oralcancer
Boothgarh,SHC,,40390,BARONJIAN,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6154222167,30.685462,76.7043574,6154222167,30/11/19,30/11/19,Q4,,0,,BARONJIAN,,30.685462,76.7043574,,122,340,"6,111","1,126",142
Boothgarh,SHC,,40390,KHIZRABAD,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8364187719,30.87433376,76.65499124,8364187719,30/04/21,30/04/21,Q2,,0,,KHIZRABAD,,30.87433376,76.65499124,,54,97,"3,275",734,0
Boothgarh,SHC,,40390,MAJRA,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7824624337,30.8433694,76.7142214,7824624337,30/06/19,30/06/19,Q2,,0,,MAJRA,,30.8433694,76.7142214,,558,611,"4,364",773,729
Boothgarh,SHC,,40390,PADIALA,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5842382649,30.7975877,76.5670652,5842382649,30/06/19,30/06/19,Q2,,0,,PADIALA,,30.7975877,76.5670652,,481,651,"4,986",743,660
Boothgarh,SHC,,40390,PALHERI,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7813287633,30.7893317,76.6925793,7813287633,30/06/19,30/06/19,Q2,,0,,PALHERI,,30.7893317,76.6925793,,266,459,"8,151",648,444
Boothgarh,SHC,,40390,SAINI MAJRA,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3487321386,30.7683698,76.7558551,3487321386,30/11/19,30/11/19,Q4,,0,,SAINI MAJRA,,30.7683698,76.7558551,,328,467,"5,454",870,434
Boothgarh,SHC,,40390,SANGATPURA,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8252487361,31.80089457,74.91642952,8252487361,30/11/19,30/11/19,Q4,,0,,SANGATPURA,,31.80089457,74.91642952,,663,"1,080","5,238","1,175","1,073"
Boothgarh,SHC,,40390,TEUR,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7733837558,30.794433,76.6477648,7733837558,30/06/19,30/06/19,Q2,,0,,TEUR,,30.794433,76.6477648,,603,582,"6,738","2,054","1,912"
Boothgarh,SHC,,40390,TOGGAN,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7157443834,30.7729853,76.7298644,7157443834,30/06/19,30/06/19,Q2,,0,,TOGGAN,,30.7729853,76.7298644,,674,"1,027","7,218","1,765","1,584"
Boothgarh,SHC,,40390,VAZIDPUR,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7885385612,30.7652572,76.7522643,7885385612,30/06/19,30/06/19,Q2,,0,,VAZIDPUR,,30.7652572,76.7522643,,0,111,"1,646",359,19
Dera Bassi,SHC,,324,Aganpur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1115821645,30.5181366,76.836238,1115821645,12/03/21,12/03/21,Q1,,268,,Aganpur,,30.5181366,76.836238,,0,164,901,330,24
Dera Bassi,SHC,,324,CHHARBAR,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6677471283,30.5095697,76.7493429,6677471283,30/11/19,30/11/19,Q4,,0,,CHHARBAR,,30.5095697,76.7493429,,"2,591","3,664","11,382","3,727","3,797"
Dera Bassi,SHC,,324,DHARAMGARH,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8385718658,30.7535815,76.6607284,8385718658,11/03/21,11/03/21,Q1,,0,,DHARAMGARH,,30.7535815,76.6607284,,22,704,"5,867","1,085",6
Dera Bassi,SHC,,324,Issapur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1584637472,30.7533421,76.6605083,1584637472,31/10/19,31/10/19,Q4,,268,,Issapur,,30.7533421,76.6605083,,14,775,"4,353",859,211
Dera Bassi,SHC,,324,Jyoli,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1577442484,30.5026183,76.8791864,1577442484,11/03/21,11/03/21,Q1,,0,,Jyoli,,30.5026183,76.8791864,,12,58,"6,408","1,148",133
Dera Bassi,SHC,,324,Karala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6783486217,30.5447659,76.7240924,6783486217,30/06/19,30/06/19,Q2,,268,,Karala,,30.5447659,76.7240924,,539,"1,390","11,064","2,277",654
Dera Bassi,SHC,,324,Karkor,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6762861786,30.5740379,76.8076796,6762861786,30/11/19,30/11/19,Q4,,0,,Karkor,,30.5740379,76.8076796,,405,285,"5,179","1,269",833
Dera Bassi,SHC,,324,Kurawala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3728174735,30.7298716,76.7577984,3728174735,30/11/19,30/11/19,Q4,,0,,Kurawala,,30.7298716,76.7577984,,235,218,"7,725","1,780",487
Dera Bassi,SHC,,324,Nagla,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6871427370,30.6182776,76.8344358,6871427370,30/06/19,30/06/19,Q2,,268,,Nagla,,30.6182776,76.8344358,,934,"1,183","4,599","1,271","1,275"
Dera Bassi,SHC,,324,Samgoli,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4666253887,30.5330784,76.8960557,4666253887,26/08/20,26/08/20,Q3,,0,,Samgoli,,30.5330784,76.8960557,,126,369,"5,536",912,160
Dera Bassi,SHC,,324,Singhpura,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5857447568,30.63052,76.8167443,5857447568,30/11/19,30/11/19,Q4,,268,,Singhpura,,30.63052,76.8167443,,147,640,"6,819","1,148",622
Gharuan,SHC,,40391,BAKARPUR,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4212212429,30.6792029,76.71821,4212212429,31/10/19,31/10/19,Q4,,0,,BAKARPUR,,30.6792029,76.71821,,866,452,"4,311","1,157",357
Gharuan,SHC,,40391,BARODI,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4271847669,30.835304,76.6331145,4271847669,30/11/19,30/11/19,Q4,,0,,BARODI,,30.835304,76.6331145,,826,"1,012","6,135","1,122","1,056"
Gharuan,SHC,,40391,BATTA,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4761743642,30.7504205,76.5133588,4761743642,31/10/19,31/10/19,Q4,,0,,BATTA,,30.7504205,76.5133588,,115,226,"3,676",226,195
Gharuan,SHC,,40391,CHANDIALA,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8412871470,30.7040961,76.6475128,8412871470,30/11/19,30/11/19,Q4,,0,,CHANDIALA,,30.7040961,76.6475128,,0,407,"3,509",578,12
Gharuan,SHC,,40391,DAUN,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6733174384,30.739318,76.680391,6733174384,30/06/19,30/06/19,Q2,,0,,DAUN,,30.739318,76.680391,,2,91,"2,897",107,0
Gharuan,SHC,,40391,GARANGA,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7656284762,30.72975157,76.52775577,7656284762,30/11/19,30/11/19,Q4,,0,,GARANGA,,30.72975157,76.52775577,,68,728,"4,216",753,124
Gharuan,SHC,,40391,MAULI,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3775684354,30.66949733,76.71843986,3775684354,30/06/19,30/06/19,Q2,,0,,MAULI,,30.66949733,76.71843986,,491,765,"3,347",766,751
Gharuan,SHC,,40391,MULLANPUR,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4656134881,30.7975677,76.7456138,4656134881,23/04/21,23/04/21,Q2,,0,,MULLANPUR,,30.7975677,76.7456138,,66,57,"2,307",160,145
Gharuan,SHC,,40391,POPNA,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5774382187,30.7399271,76.6425346,5774382187,30/11/19,30/11/19,Q4,,0,,POPNA,,30.7399271,76.6425346,,19,449,"4,413",490,169
Gharuan,SHC,,40391,SANETA,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7326853475,30.6410813,76.6833224,7326853475,31/10/19,31/10/19,Q4,,0,,SANETA,,30.6410813,76.6833224,,709,"1,264","7,093","2,986","1,376"
Gharuan,SHC,,40391,SAWARA,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8783455564,30.6843929,76.6443396,8783455564,30/11/19,30/11/19,Q4,,0,,SAWARA,,30.6843929,76.6443396,,0,161,"2,486",403,60
Gharuan,SHC,,40391,TANGORI,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8866526737,30.5972832,76.7060531,8866526737,30/11/19,30/11/19,Q4,,0,,TANGORI,,30.5972832,76.7060531,,86,448,"4,019",506,180
