Block Name,Category,District Name,HealthBlock ID,HFI,Highlight,Hyper Link,Latitude,Longitude,Nin 2 Hfi,Operational Date,Progressive Date,Quarter of Operational Date,State Name1,Taluka ID,DistrictProgressColor,HFI Name,Geometry (generated),Latitude (generated),Longitude (generated),test,breastcancer,diabetes,footfall,Hypertension,Oralcancer
,UPHC,,0,UPHC QILA REHMATGARH,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5333334844,30.52108955,75.89414215,5333334844,30/06/19,30/06/19,Q2,,269,,UPHC QILA REHMATGARH,,30.52108955,75.89414215,,0,429,"3,150",293,0
AHMEDGARH,SHC,,40406,Binjoki,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5744331488,30.5128658,75.9272713,5744331488,30/11/19,30/11/19,Q4,,0,,Binjoki,,30.5128658,75.9272713,,138,"2,218","7,306","2,902","2,902"
AHMEDGARH,SHC,,40406,Issra,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4771413848,30.4362921,75.9396105,4771413848,13/03/21,13/03/21,Q1,,0,,Issra,,30.4362921,75.9396105,,50,90,"1,194",90,90
AHMEDGARH,SHC,,40406,Jhall,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4285882140,30.4820836,76.0062805,4285882140,30/11/19,30/11/19,Q4,,0,,Jhall,,30.4820836,76.0062805,,632,"1,058","8,211","1,118","1,056"
AHMEDGARH,SHC,,40406,Mandian,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6546588366,30.5668022,75.9928376,6546588366,13/03/21,13/03/21,Q1,,0,,Mandian,,30.5668022,75.9928376,,347,529,"1,478",529,529
AHMEDGARH,SHC,,40406,Salar,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8555638389,30.4785878,75.9813377,8555638389,30/11/19,30/11/19,Q4,,0,,Salar,,30.4785878,75.9813377,,"1,221","1,518","9,166","2,066","2,066"
AHMEDGARH,SHC,,40406,Saraud,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4683676714,30.562918,75.9113014,4683676714,30/11/19,30/11/19,Q4,,0,,Saraud,,30.562918,75.9113014,,"1,267","1,834","8,497","2,505","2,378"
AHMEDGARH,SHC,,40406,Sarwarpur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2865648576,30.5464565,75.9443281,2865648576,26/08/20,26/08/20,Q3,,0,,Sarwarpur,,30.5464565,75.9443281,,882,48,"5,058","1,705","1,563"
Bhawani garh,SHC,,342,Bakhopir,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3168634743,30.3049649,76.0655789,3168634743,12/03/21,12/03/21,Q1,,271,,Bakhopir,,30.3049649,76.0655789,,23,62,"1,922",383,85
Bhawani garh,SHC,,342,Batriana,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7346862811,30.2036366,75.9947603,7346862811,30/06/19,30/06/19,Q2,,271,,Batriana,,30.2036366,75.9947603,,579,"1,037","6,586","1,477",630
Bhawani garh,SHC,,342,Bhatiwal Kalan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1151785258,30.24099298,75.85323802,1151785258,13/03/21,13/03/21,Q1,,271,,Bhatiwal Kalan,,30.24099298,75.85323802,,71,"1,883","11,680","3,149","1,130"
Bhawani garh,SHC,,342,Gehlan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4572248823,30.3190243,75.9904072,4572248823,30/11/19,30/11/19,Q4,,271,,Gehlan,,30.3190243,75.9904072,,192,"1,172","5,454","2,620",902
