Block Name,Category,District Name,HealthBlock ID,HFI,Highlight,Hyper Link,Latitude,Longitude,Nin 2 Hfi,Operational Date,Progressive Date,Quarter of Operational Date,State Name1,Taluka ID,DistrictProgressColor,HFI Name,Geometry (generated),Latitude (generated),Longitude (generated),test,breastcancer,diabetes,footfall,Hypertension,Oralcancer
Balachaur,SHC,,319,Bela Tajowal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5816267883,30.9781078,76.3870605,5816267883,31/03/21,31/03/21,Q1,,219,,Bela Tajowal,,30.9781078,76.3870605,,0,0,97,0,0
Mukandpur,PHC,,40395,PHC Khankhana,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5414121326,31.1863798,75.9867795,5414121326,30/06/19,30/06/19,Q2,,0,,PHC Khankhana,,31.1863798,75.9867795,,58,254,"1,675",254,193
Mukandpur,SHC,,40395,Garh Padhana,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8764714260,31.0707374,76.0103137,8764714260,25/03/21,25/03/21,Q1,,0,,Garh Padhana,,31.0707374,76.0103137,,0,0,"1,204",0,0
Muzafarpur,PHC,,40396,PHC Jabowal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6828726361,31.1826667,76.083607,6828726361,30/06/19,30/06/19,Q2,,0,,PHC Jabowal,,31.1826667,76.083607,,574,"1,178","14,606","1,178","1,178"
Muzafarpur,PHC,,40396,PHC Muzafarpur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3226867475,31.0993586,76.1948562,3226867475,30/06/19,30/06/19,Q2,,0,,PHC Muzafarpur,,31.0993586,76.1948562,,0,911,"6,391",920,0
Muzafarpur,SHC,,40396,Baghoran,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7453368545,31.1249887,76.1626142,7453368545,22/04/20,22/04/20,Q2,,0,,Baghoran,,31.1249887,76.1626142,,475,94,"1,627","1,032",767
Muzafarpur,SHC,,40396,Bheen,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6754717863,31.1693578,76.0933948,6754717863,31/03/21,31/03/21,Q1,,0,,Bheen,,31.1693578,76.0933948,,34,258,"1,751",315,195
Muzafarpur,SHC,,40396,Gujjarpur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5443821789,31.1436704,76.1151429,5443821789,20/04/21,20/04/21,Q2,,0,,Gujjarpur,,31.1436704,76.1151429,,0,185,"1,600",175,0
Muzafarpur,SHC,,40396,Hialan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6778714177,31.0935782,76.1107767,6778714177,31/03/21,31/03/21,Q1,,0,,Hialan,,31.0935782,76.1107767,,94,21,"1,559",290,45
Muzafarpur,SHC,,40396,Kot Ranjha,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5838866258,31.0727251,76.1417898,5838866258,,31/03/21,,,0,,Kot Ranjha,,31.0727251,76.1417898,,0,50,667,61,0
Muzafarpur,SHC,,40396,Mallpur Arkan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5148683435,31.169307,76.0705556,5148683435,21/04/20,21/04/20,Q2,,0,,Mallpur Arkan,,31.169307,76.0705556,,811,50,"3,468","1,373","1,373"
Muzafarpur,SHC,,40396,Mazara Kalan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2342668445,31.0770668,76.1992197,2342668445,21/04/20,21/04/20,Q2,,0,,Mazara Kalan,,31.0770668,76.1992197,,139,215,"1,808",232,230
Muzafarpur,SHC,,40396,Mohalon,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6844138237,31.1292532,76.1128996,6844138237,30/11/19,30/11/19,Q4,,0,,Mohalon,,31.1292532,76.1128996,,925,"1,074","3,668","1,254","1,292"
Muzafarpur,SHC,,40396,Palli Jhikki,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7481866411,31.1859754,76.0817944,7481866411,31/03/21,31/03/21,Q1,,0,,Palli Jhikki,,31.1859754,76.0817944,,92,106,322,270,90
Muzafarpur,SHC,,40396,Saloh,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1433168885,31.1185336,76.1319493,1433168885,21/04/20,21/04/20,Q2,,0,,Saloh,,31.1185336,76.1319493,,254,559,"1,478",567,559
Saroya,SHC,,322,Chandiani Khurd,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1338587643,31.1508348,76.3005847,1338587643,03/09/21,03/09/21,Q3,,219,,Chandiani Khurd,,31.1508348,76.3005847,,0,120,"2,300",120,120
Saroya,SHC,,322,Rakar Dhaha,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6243111538,31.1189379,76.2226814,6243111538,31/03/21,31/03/21,Q1,,219,,Rakar Dhaha,,31.1189379,76.2226814,,0,213,662,180,0
Saroya,SHC,,322,Sahunghra,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7287312842,31.1792429,76.2022697,7287312842,31/03/21,31/03/21,Q1,,219,,Sahunghra,,31.1792429,76.2022697,,0,166,683,219,170
