Block Name,Category,District Name,HealthBlock ID,HFI,Highlight,Hyper Link,Latitude,Longitude,Nin 2 Hfi,Operational Date,Progressive Date,Quarter of Operational Date,State Name1,Taluka ID,DistrictProgressColor,HFI Name,Geometry (generated),Latitude (generated),Longitude (generated),test,breastcancer,diabetes,footfall,Hypertension,Oralcancer
,SHC,,0,Amarkot,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3348177332,31.2219893,74.6153399,3348177332,04/03/21,04/03/21,Q1,,260,,Amarkot,,31.2219893,74.6153399,,167,598,"2,855",642,403
,SHC,,0,Mehdipur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5857318389,31.1138208,74.5801959,5857318389,04/03/21,04/03/21,Q1,,260,,Mehdipur,,31.1138208,74.5801959,,0,494,"3,565",931,0
Chhabhal,SHC,,40411,Adda Chabhal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3487354171,31.4851542,74.790024,3487354171,05/04/21,05/04/21,Q2,,0,,Adda Chabhal,,31.4851542,74.790024,,0,494,"2,643","1,980","1,303"
Chhabhal,SHC,,40411,Bath,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2167574884,31.467816,75.0028797,2167574884,10/07/20,10/07/20,Q3,,0,,Bath,,31.467816,75.0028797,,819,"1,583","6,873","2,250","1,659"
Chhabhal,SHC,,40411,Bhojian,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3557843673,31.4533682,74.8189159,3557843673,29/07/20,29/07/20,Q3,,0,,Bhojian,,31.4533682,74.8189159,,28,197,"3,211",627,69
Chhabhal,SHC,,40411,Gohalwar,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2463856746,31.52191869,74.89849772,2463856746,29/07/20,29/07/20,Q3,,0,,Gohalwar,,31.52191869,74.89849772,,78,"1,264","4,284","1,766",239
Chhabhal,SHC,,40411,Lalu Ghuman,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6747646260,31.4795091,74.8417418,6747646260,29/07/20,29/07/20,Q3,,0,,Lalu Ghuman,,31.4795091,74.8417418,,150,673,"5,442",957,614
Chhabhal,SHC,,40411,Malluwal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3881583425,31.440345,74.7657089,3881583425,29/07/20,29/07/20,Q3,,0,,Malluwal,,31.440345,74.7657089,,398,362,"4,378","1,079",587
Chhabhal,SHC,,40411,Mannan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5617548788,31.5143174,74.8095874,5617548788,05/04/21,05/04/21,Q2,,0,,Mannan,,31.5143174,74.8095874,,16,"1,971","7,776","2,536","1,971"
Chhabhal,SHC,,40411,Manochahal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8833517736,31.3898235,74.8497993,8833517736,05/04/21,05/04/21,Q2,,0,,Manochahal,,31.3898235,74.8497993,,280,"1,395","5,891","1,450","1,170"
Chhabhal,SHC,,40411,Musse,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2727743466,31.4228389,74.7507144,2727743466,29/07/20,29/07/20,Q3,,0,,Musse,,31.4228389,74.7507144,,400,456,"2,929","1,158",634
Chhabhal,SHC,,40411,Norangabad,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2465734743,31.4366412,74.981333,2465734743,29/07/20,29/07/20,Q3,,0,,Norangabad,,31.4366412,74.981333,,0,274,"1,330",299,23
Chhabhal,SHC,,40411,Pakhoke,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8836123474,31.5119295,75.0072618,8836123474,29/07/20,29/07/20,Q3,,0,,Pakhoke,,31.5119295,75.0072618,,12,"1,101","4,891","1,167",673
Chhabhal,SHC,,40411,Palasour,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6233188868,31.4464167,74.8969443,6233188868,29/07/20,29/07/20,Q3,,0,,Palasour,,31.4464167,74.8969443,,"1,190","2,408","4,514","2,410","2,371"
Chhabhal,SHC,,40411,Panjwar,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5573444642,31.456642,74.7880152,5573444642,05/04/21,05/04/21,Q2,,0,,Panjwar,,31.456642,74.7880152,,0,"1,012","4,393","1,722","1,343"
Chhabhal,SHC,,40411,Ram Roni,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7761658744,31.4244301,74.7903727,7761658744,05/04/21,05/04/21,Q2,,0,,Ram Roni,,31.4244301,74.7903727,,63,"1,020","6,807","1,320",817
Ghariala,SHC,,40412,Barwala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7643364545,31.2282965,74.809953,7643364545,04/03/21,04/03/21,Q1,,0,,Barwala,,31.2282965,74.809953,,20,543,"2,731",561,519
Ghariala,SHC,,40412,Burj Rai Ke,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8683136348,31.257955,74.8926547,8683136348,29/07/20,29/07/20,Q3,,0,,Burj Rai Ke,,31.257955,74.8926547,,26,"2,482","5,968","2,593","2,036"
Ghariala,SHC,,40412,Chuslewar,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4843172646,31.2753372,74.8516056,4843172646,06/08/20,06/08/20,Q3,,0,,Chuslewar,,31.2753372,74.8516056,,47,"1,342","5,639","1,342",981
Kairon,SHC,,40413,Bahmaniwala,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1481383832,31.304446,74.8391989,1481383832,29/10/21,29/10/21,Q4,,0,,Bahmaniwala,,31.304446,74.8391989,,20,248,"5,177",929,27
Kairon,SHC,,40413,Dugri,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7112117572,31.382311,74.9885128,7112117572,29/07/20,29/07/20,Q3,,0,,Dugri,,31.382311,74.9885128,,73,609,"3,572","2,117","1,408"
