Block Name,Category,District Name,HealthBlock ID,HFI,Highlight,Hyper Link,Latitude,Longitude,Nin 2 Hfi,Operational Date,Progressive Date,Quarter of Operational Date,State Name1,Taluka ID,DistrictProgressColor,HFI,Geometry (generated),Latitude (generated),Longitude (generated),test,breastcancer,diabetes,footfall,Hypertension, Oralcancer 
,UPHC,,,UPHC Putligarh,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8132252159,31.6061404,74.9399984,8132252159,24/01/22,24/01/22,Q1,,256,,UPHC Putligarh,,31.6061404,74.9399984,,,,215,,
,UPHC,,0,Bhai Dharam Singh Memorial Sattelite Hospital,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4437324819,31.6611781,74.8669462,4437324819,30/06/19,30/06/19,Q2,,256,,Bhai Dharam Singh Memorial Sattelite Hospital,,31.6611781,74.8669462,,,,"34,708",,
Baba Bakala,SHC,,40729,Balsaran,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6138843427,31.6292707,74.8813728,6138843427,30/06/19,30/06/19,Q2,,0,,Balsaran,,31.6292707,74.8813728,,"1,737",375,"7,283","2,946","1,232"
Baba Bakala,SHC,,40729,Bedadpur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8885462559,31.5708352,75.2776179,8885462559,30/11/19,30/11/19,Q4,,0,,Bedadpur,,31.5708352,75.2776179,,651,448,"7,866",978,964
Baba Bakala,SHC,,40729,Buley Nangal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1335325526,31.5128101,75.2564741,1335325526,30/11/19,30/11/19,Q4,,0,,Buley Nangal,,31.5128101,75.2564741,,"1,429","2,286","7,745","3,290","3,242"
Baba Bakala,SHC,,40729,Chapianwali,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4582537868,32.0053154,75.4175381,4582537868,30/06/19,30/06/19,Q2,,0,,Chapianwali,,32.0053154,75.4175381,,"1,643",279,"11,302","3,670","2,874"
Baba Bakala,SHC,,40729,Chung,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3258287469,31.6785029,75.2659531,3258287469,30/11/19,30/11/19,Q4,,0,,Chung,,31.6785029,75.2659531,,759,368,"9,723","1,151","1,154"
Baba Bakala,SHC,,40729,Dhardeon,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3388322434,31.56237,75.1285586,3388322434,06/01/22,06/01/22,Q1,,0,,Dhardeon,,31.56237,75.1285586,,63,165,838,163,162
Baba Bakala,SHC,,40729,Dyanpur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4883277511,31.56028852,75.23568786,4883277511,30/11/19,30/11/19,Q4,,0,,Dyanpur,,31.56028852,75.23568786,,870,518,"4,662","1,385","1,120"
Baba Bakala,SHC,,40729,Ghuhatwind  Hinduan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/4383752468,31.6292711,74.8813718,4383752468,30/06/19,30/06/19,Q2,,0,,Ghuhatwind  Hinduan,,31.6292711,74.8813718,,263,279,"7,219","1,032","1,037"
